Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006811~ion transport	56	15.135135135135137	7.939336481886738E-8	ATP1B1, TUSC3, SLC9A6, SCN3A, FGF14, CASK, FGF12, CLTC, ATP2B1, GOT2, PDE4B, NIPAL3, ANO5, SCN7A, CALCRL, KCNG3, SLC1A1, FGF2, NSF, KCND2, SARAF, GRIN2A, OSTM1, SLC7A14, ATP6V1D, COX6C, ATP6V1C1, ATP6V1A, PNPLA8, CNTN1, KCNH5, SLC2A13, CLCN3, COX7B, FKBP1B, ATP5G3, KCNMB2, TSC22D3, KCNS2, PLA2G12A, CAMK2D, PRKAA2, ARL6IP5, NDUFA4, GLRB, SLC8A1, ATP5F1, NDFIP2, MPC2, VDAC3, SLC25A12, SLC17A6, SLC25A13, ATP6V1E1, CALM2, CLCN4	301	1043	11962	2.133737653013445	2.9601404817858334E-4	2.9601404817858334E-4	1.4642385044449924E-4
GOTERM_BP_FAT	GO:0055085~transmembrane transport	51	13.783783783783784	5.45703926719672E-7	ATP1B1, TUSC3, SLC9A6, SCN3A, FGF14, TIMM17A, FGF12, ATP2B1, PDE4B, NIPAL3, ANO5, SCN7A, KCNG3, SLC1A1, FGF2, SV2C, SVOP, KCND2, SLC25A4, GRIN2A, OSTM1, SLC7A14, ATP6V1D, COX6C, ATP6V1C1, ATP6V1A, SLC25A33, KCNH5, SLC2A13, CLCN3, COX7B, ATP5G3, FKBP1B, KCNMB2, TSC22D3, KCNS2, CAMK2D, PRKAA2, TMEM30A, NDUFA4, GLRB, SLC8A1, ATP5F1, MPC2, VDAC3, SLC25A12, SLC17A6, SLC25A13, ATP6V1E1, CALM2, CLCN4	301	962	11962	2.106844130099944	0.002032861430589894	0.0010169478067156845	0.0010064285021815778
GOTERM_BP_FAT	GO:0034220~ion transmembrane transport	41	11.081081081081082	9.9238931225346E-7	ATP1B1, CLCN3, SLC9A6, SCN3A, FGF14, COX7B, FGF12, FKBP1B, ATP5G3, KCNMB2, ATP2B1, TSC22D3, KCNS2, PDE4B, CAMK2D, ANO5, PRKAA2, SCN7A, KCNG3, SLC1A1, FGF2, NDUFA4, SLC8A1, GLRB, KCND2, GRIN2A, ATP5F1, MPC2, OSTM1, ATP6V1D, VDAC3, COX6C, ATP6V1C1, SLC25A12, ATP6V1A, SLC17A6, SLC25A13, ATP6V1E1, CLCN4, CALM2, KCNH5	301	705	11962	2.311170801818996	0.0036937827202968565	0.001232780028860736	0.0018302323830265976
GOTERM_BP_FAT	GO:0006812~cation transport	39	10.54054054054054	4.4337202186006165E-6	SLC2A13, ATP1B1, TUSC3, SLC9A6, SCN3A, FGF14, COX7B, CASK, FGF12, CLTC, FKBP1B, ATP5G3, KCNMB2, ATP2B1, KCNS2, PDE4B, CAMK2D, NIPAL3, SCN7A, CALCRL, KCNG3, FGF2, NSF, NDUFA4, SLC8A1, KCND2, SARAF, GRIN2A, ATP5F1, NDFIP2, ATP6V1D, COX6C, ATP6V1C1, ATP6V1A, SLC17A6, ATP6V1E1, CNTN1, CALM2, KCNH5	301	694	11962	2.233276207071529	0.016397453168500054	0.004124814324334869	0.008176725279129826
GOTERM_BP_FAT	GO:0015672~monovalent inorganic cation transport	25	6.756756756756757	1.4705977069741762E-5	NDUFA4, SLC2A13, ATP1B1, SLC8A1, SLC9A6, KCND2, SCN3A, COX7B, ATP5F1, FGF12, ATP6V1D, ATP5G3, KCNMB2, COX6C, ATP6V1C1, ATP6V1A, KCNS2, SLC17A6, ATP6V1E1, CAMK2D, CNTN1, SCN7A, KCNG3, NSF, KCNH5	301	363	11962	2.736974090039629	0.0533624478363206	0.010907871333875718	0.02711852721811736
GOTERM_BP_FAT	GO:0098660~inorganic ion transmembrane transport	31	8.378378378378379	2.53022062472709E-5	ATP1B1, CLCN3, SLC9A6, SCN3A, FGF14, COX7B, FGF12, FKBP1B, ATP5G3, KCNMB2, ATP2B1, KCNS2, PDE4B, CAMK2D, ANO5, SCN7A, KCNG3, FGF2, NDUFA4, SLC8A1, GLRB, KCND2, ATP5F1, GRIN2A, COX6C, ATP6V1C1, ATP6V1A, ATP6V1E1, CALM2, CLCN4, KCNH5	301	529	11962	2.3288596926439276	0.09003862076438462	0.01560251972950255	0.046654170649351734
GOTERM_BP_FAT	GO:0030001~metal ion transport	33	8.91891891891892	3.446540585121875E-5	ATP1B1, TUSC3, SLC9A6, SCN3A, FGF14, CASK, FGF12, CLTC, FKBP1B, KCNMB2, ATP2B1, KCNS2, PDE4B, CAMK2D, NIPAL3, SCN7A, CALCRL, KCNG3, FGF2, NSF, SLC8A1, KCND2, SARAF, GRIN2A, NDFIP2, ATP6V1D, ATP6V1C1, ATP6V1A, SLC17A6, ATP6V1E1, CNTN1, CALM2, KCNH5	301	592	11962	2.2152846367962646	0.12060729108157298	0.01819300278961211	0.06354491077023017
GOTERM_BP_FAT	GO:0006091~generation of precursor metabolites and energy	22	5.9459459459459465	4.71617921692987E-5	NDUFA4, NDUFA8, SLC25A4, COX7B, CYCS, GYG2, GYG1, DLAT, COX6C, SLC25A12, PPP1R3D, SDHB, CISD1, SLC25A13, SLC25A33, MC4R, COQ10B, PRKAA2, PGK1, SUCLA2, CALM2, MDH1	301	316	11962	2.7667689978552508	0.1612733836207103	0.02174392591469454	0.08694399506965489
GOTERM_BP_FAT	GO:0003008~system process	49	13.243243243243244	5.886372518821895E-5	KDM6A, ATP1B1, TUSC3, SCN3A, ATP6AP2, CPEB3, FGF12, HSBP1, GPR88, ATP2B1, CASP3, COL4A3BP, PDE4B, MKKS, SCN7A, PRKACB, CALCRL, SLC1A1, ERRFI1, COCH, OPA1, KCND2, RAP1GDS1, GRIN2A, PJA2, LRAT, CHRM3, CHRM2, HTR7, CARTPT, SGCE, OAT, SGCZ, TAC1, FAM19A4, FKBP1B, NETO1, CHMP2B, KCNMB2, KRAS, CAMK2D, PPP3CB, INPP5F, GLRB, SLC8A1, TRHDE, MAP2K4, NLGN4X, CALM2	301	1077	11962	1.8080801537431712	0.19708730289218368	0.024094890645393607	0.10850574100620403
GOTERM_BP_FAT	GO:0098662~inorganic cation transmembrane transport	27	7.297297297297297	1.2422777222965127E-4	ATP1B1, SLC9A6, SCN3A, FGF14, COX7B, FGF12, ATP5G3, FKBP1B, KCNMB2, ATP2B1, KCNS2, PDE4B, CAMK2D, SCN7A, KCNG3, FGF2, NDUFA4, SLC8A1, KCND2, ATP5F1, GRIN2A, COX6C, ATP6V1C1, ATP6V1A, ATP6V1E1, CALM2, KCNH5	301	468	11962	2.292742141579351	0.37077988490905667	0.045270680637934047	0.22886329431177632
