Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0099536~synaptic signaling	72	11.57556270096463	1.3476052180954263E-21	SNCG, KCNC4, STAR, GLRA1, SYT4, CPEB3, CLSTN3, GLRA3, CRHBP, TACR1, SNCA, SYT3, FGF12, VIPR1, MBP, HTR1B, TRIM9, GRIN2D, LGI1, GABRG2, GPR176, BAIAP3, PTPRN2, GRIN2A, HTR4, RPH3A, STX1B, CHRM3, RASGRF1, CHRM2, GRM8, SSTR1, HTR7, OTOF, CELF4, CARTPT, VAMP2, NRGN, RASD2, ACHE, RAB3B, NPY2R, TAC1, NAPB, RIMS2, AMPH, NETO1, HCRTR1, SYN1, AGT, SYN2, NOVA1, HAP1, DTNA, GABRA1, SLC6A11, SYT10, GRIN1, SYT12, SLC12A5, CACNA2D2, KCNK3, PDE7B, YWHAH, NTRK1, NLGN4X, ADRA1A, SLC5A7, SYT17, HTR2C, DNM1, HTR2A	488	492	12053	3.614454218312675	6.469852652076142E-18	6.469852652076142E-18	2.5536057086996807E-18
GOTERM_BP_FAT	GO:0098916~anterograde trans-synaptic signaling	72	11.57556270096463	1.3476052180954263E-21	SNCG, KCNC4, STAR, GLRA1, SYT4, CPEB3, CLSTN3, GLRA3, CRHBP, TACR1, SNCA, SYT3, FGF12, VIPR1, MBP, HTR1B, TRIM9, GRIN2D, LGI1, GABRG2, GPR176, BAIAP3, PTPRN2, GRIN2A, HTR4, RPH3A, STX1B, CHRM3, RASGRF1, CHRM2, GRM8, SSTR1, HTR7, OTOF, CELF4, CARTPT, VAMP2, NRGN, RASD2, ACHE, RAB3B, NPY2R, TAC1, NAPB, RIMS2, AMPH, NETO1, HCRTR1, SYN1, AGT, SYN2, NOVA1, HAP1, DTNA, GABRA1, SLC6A11, SYT10, GRIN1, SYT12, SLC12A5, CACNA2D2, KCNK3, PDE7B, YWHAH, NTRK1, NLGN4X, ADRA1A, SLC5A7, SYT17, HTR2C, DNM1, HTR2A	488	492	12053	3.614454218312675	6.469852652076142E-18	6.469852652076142E-18	2.5536057086996807E-18
GOTERM_BP_FAT	GO:0099537~trans-synaptic signaling	72	11.57556270096463	1.3476052180954263E-21	SNCG, KCNC4, STAR, GLRA1, SYT4, CPEB3, CLSTN3, GLRA3, CRHBP, TACR1, SNCA, SYT3, FGF12, VIPR1, MBP, HTR1B, TRIM9, GRIN2D, LGI1, GABRG2, GPR176, BAIAP3, PTPRN2, GRIN2A, HTR4, RPH3A, STX1B, CHRM3, RASGRF1, CHRM2, GRM8, SSTR1, HTR7, OTOF, CELF4, CARTPT, VAMP2, NRGN, RASD2, ACHE, RAB3B, NPY2R, TAC1, NAPB, RIMS2, AMPH, NETO1, HCRTR1, SYN1, AGT, SYN2, NOVA1, HAP1, DTNA, GABRA1, SLC6A11, SYT10, GRIN1, SYT12, SLC12A5, CACNA2D2, KCNK3, PDE7B, YWHAH, NTRK1, NLGN4X, ADRA1A, SLC5A7, SYT17, HTR2C, DNM1, HTR2A	488	492	12053	3.614454218312675	6.469852652076142E-18	6.469852652076142E-18	2.5536057086996807E-18
GOTERM_BP_FAT	GO:0007268~chemical synaptic transmission	72	11.57556270096463	1.3476052180954263E-21	SNCG, KCNC4, STAR, GLRA1, SYT4, CPEB3, CLSTN3, GLRA3, CRHBP, TACR1, SNCA, SYT3, FGF12, VIPR1, MBP, HTR1B, TRIM9, GRIN2D, LGI1, GABRG2, GPR176, BAIAP3, PTPRN2, GRIN2A, HTR4, RPH3A, STX1B, CHRM3, RASGRF1, CHRM2, GRM8, SSTR1, HTR7, OTOF, CELF4, CARTPT, VAMP2, NRGN, RASD2, ACHE, RAB3B, NPY2R, TAC1, NAPB, RIMS2, AMPH, NETO1, HCRTR1, SYN1, AGT, SYN2, NOVA1, HAP1, DTNA, GABRA1, SLC6A11, SYT10, GRIN1, SYT12, SLC12A5, CACNA2D2, KCNK3, PDE7B, YWHAH, NTRK1, NLGN4X, ADRA1A, SLC5A7, SYT17, HTR2C, DNM1, HTR2A	488	492	12053	3.614454218312675	6.469852652076142E-18	6.469852652076142E-18	2.5536057086996807E-18
GOTERM_BP_FAT	GO:0007186~G-protein coupled receptor signaling pathway	57	9.163987138263666	5.965764127076955E-14	MCHR1, NXPH2, ADCY7, GLRA1, TACR3, ADCY8, GLRA3, TACR1, SNCA, VIPR1, HTR1B, TMEM145, RAPGEF4, CALCRL, ADGRB1, RAMP1, GABRG2, GPR176, PTGER4, BAIAP3, HTR4, GPR37L1, CHRM3, CHRM2, GRM8, SSTR1, HTR7, CARTPT, GPR17, RAPGEFL1, CALCR, PRLHR, CALY, CCK, NPY2R, TRHR, TAC1, CX3CL1, HCRTR1, DGKB, AGT, SCG5, GPR158, GABRA1, NOS1, FZD1, DGKK, TENM1, RGS4, ADRA1B, MC4R, ADRA1A, NMBR, CACNA1D, HTR2C, DNM1, HTR2A	488	456	12053	3.08734631147541	2.862307058038027E-10	1.4311529739075013E-10	1.1297629498585593E-10
GOTERM_BP_FAT	GO:0034220~ion transmembrane transport	74	11.89710610932476	8.962135658287797E-14	KCNH1, KCNJ16, KCNC1, ATP1B1, KCNC4, GLRA1, GABRB1, CRHBP, GLRA3, TRPV2, SNCA, SLC9A2, AQP4, GJA1, AQP7, GRIN3A, FGF12, SLC7A4, SLC26A11, HTR1B, SLC24A3, GRIN2D, PDE4B, ANO3, ANO5, SCN7A, NALCN, DPP6, KCNG3, GABRG2, TRPM8, NCALD, GRIN2A, SLC7A11, TRPM2, ATP6V1A, RASGRF1, RYR2, VAMP2, KCNH5, SHROOM2, SCN1A, SLC39A12, KCNA3, FXYD7, KCNS1, KCNS2, AGT, COX6B2, KCNE5, HAP1, GABRQ, HCN2, SLC8A1, GABRA1, NOS1, TRPC5, ASIC4, GRIN1, TRPC7, SLC12A5, ATP1A3, ATP1A1, CACNA2D3, CACNA2D2, KCNK3, ATP13A4, SLC17A8, SLC17A6, YWHAH, CACNA1C, CACNA1D, HTR2C, HTR2A	488	712	12053	2.5670070454964082	4.301455858168879E-10	1.4338186193896263E-10	1.6977530492567894E-10
GOTERM_BP_FAT	GO:0055085~transmembrane transport	90	14.469453376205788	1.0104456720626145E-13	KCNH1, KCNJ16, KCNC1, ATP1B1, KCNC4, RNASEL, GLRA1, TRPV2, CRHBP, GLRA3, GABRB1, SNCA, SLC9A2, AQP4, GJA1, AQP7, FGF12, GRIN3A, SLC7A4, SLC26A11, HTR1B, SLC24A3, GRIN2D, PDE4B, NIPAL3, ANO3, ANO5, SV2B, SCN7A, SV2A, NALCN, DPP6, KCNG3, SV2C, GABRG2, TRPM8, NCALD, GRIN2A, SLC7A10, SLC7A14, SLC7A11, TRPM2, ATP6V1A, RASGRF1, RYR2, VAMP2, KCNH5, SLC2A13, SHROOM2, SCN1A, SLC39A12, KCNA3, SLC19A3, ABCA6, FXYD7, KCNS1, KCNS2, TAP2, SLC25A48, AGT, COX6B2, KCNE5, HAP1, GABRQ, GPR155, HCN2, SLC8A1, GABRA1, NOS1, TRPC5, SLC6A11, ASIC4, GRIN1, TRPC7, SLC12A5, ATP1A3, SLC10A4, ATP1A1, CACNA2D3, CACNA2D2, KCNK3, ATP13A4, SLC17A8, SLC17A6, YWHAH, SLC5A7, CACNA1C, HTR2C, CACNA1D, HTR2A	488	973	12053	2.284572810135966	4.850464474515093E-10	1.2126166737402855E-10	1.91446858366362E-10
GOTERM_BP_FAT	GO:0006811~ion transport	94	15.112540192926044	2.0781468212517456E-13	KCNH1, KCNJ16, STEAP3, KCNC1, ATP1B1, KCNC4, GLRA1, TRPV2, CRHBP, GLRA3, GABRB1, SNCA, SLC9A2, AQP4, GJA1, AQP7, FGF12, GRIN3A, SLC7A4, SLC26A11, HTR1B, SLC24A3, GRIN2D, PDE4B, NIPAL3, ANO3, ANO5, CALCRL, SCN7A, NALCN, DPP6, KCNG3, RAMP1, NSF, MT3, GABRG2, TRPM8, SARAF, NCALD, GRIN2A, SLC7A10, SLC7A14, SLC7A11, TRPM2, ATP6V1A, RASGRF1, SLC27A6, RYR2, VAMP2, KCNH5, SLC2A13, SHROOM2, SCN1A, CCK, ENPP3, SLC39A12, KCNA3, FXYD7, KCNS1, SLCO1A2, KCNS2, AGT, COX6B2, EGF, KCNE5, HAP1, GABRQ, TMC7, HCN2, SLC8A1, GABRA1, NOS1, TRPC5, SLC6A11, ASIC4, GRIN1, TRPC7, SLC12A5, ATP1A3, SLC10A4, ATP1A1, CACNA2D3, CACNA2D2, KCNK3, ATP13A4, SLC17A8, SLC17A6, YWHAH, ADRA1A, SLC5A7, CACNA1C, HTR2C, CACNA1D, HTR2A	488	1053	12053	2.2048285149378044	9.978098347573905E-10	1.9956192254255711E-10	3.938294135252818E-10
GOTERM_BP_FAT	GO:0030001~metal ion transport	65	10.45016077170418	4.581894175170258E-13	STEAP3, KCNJ16, KCNH1, KCNC1, ATP1B1, KCNC4, TRPV2, SNCA, SLC9A2, GJA1, GRIN3A, FGF12, HTR1B, SLC24A3, PDE4B, NIPAL3, CALCRL, SCN7A, NALCN, DPP6, KCNG3, RAMP1, NSF, MT3, TRPM8, SARAF, GRIN2A, TRPM2, ATP6V1A, RYR2, VAMP2, KCNH5, SHROOM2, SCN1A, SLC39A12, KCNA3, KCNS1, KCNS2, AGT, EGF, KCNE5, HAP1, HCN2, SLC8A1, NOS1, TRPC5, ASIC4, GRIN1, SLC12A5, TRPC7, ATP1A3, SLC10A4, ATP1A1, CACNA2D3, CACNA2D2, KCNK3, SLC17A8, YWHAH, SLC17A6, ADRA1A, SLC5A7, CACNA1C, CACNA1D, HTR2C, HTR2A	488	596	12053	2.6936578556496866	2.199765591903713E-9	3.666276171543359E-10	8.682277119476112E-10
GOTERM_BP_FAT	GO:0003008~system process	95	15.27331189710611	9.892853963879986E-13	SCPEP1, KCNH1, ATP1B1, ADCY7, TACR3, GLRA1, ADCY8, CPEB3, NPNT, TRPV2, TACR1, CRHBP, AQP4, GJA1, AQP7, FGF12, GRIN3A, VIPR1, MBP, HTR1B, BRINP1, LPA, SPX, PDE4A, GRIN2D, PDE4B, POU4F2, CNTNAP1, ANGPT1, POU4F1, CALCRL, SCN7A, FOXB1, TRPM8, NCALD, TMIE, GRIN2A, SSPN, SLIT2, EML2, NCAM2, CHRM3, RASGRF1, GRM8, CHRM2, HTR7, OTOF, MYRF, GRIP2, CARTPT, RYR2, NRGN, ABLIM1, SGCZ, CAMTA1, SCN1A, CCK, PTCHD1, NPY2R, TAC1, FXYD7, GCH1, CSMD1, NETO1, AGT, MYOM1, KCNE5, DTNA, GPR155, SLC8A1, NOS1, TRHDE, SYT10, GRIN1, SLC12A5, ATP1A3, IGF1, PCDH15, ATP1A1, CACNA2D3, CACNA2D2, KCNK3, SLC17A8, SULF2, NTRK1, PRKAR1B, NLGN4X, ADRA1B, ADRA1A, PBX3, CACNA1C, HTR2C, CACNA1D, DNM1, HTR2A	488	1099	12053	2.135016557526216	4.749724058505933E-9	6.785320083579904E-10	1.8746781904610543E-9
