Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0051276~chromosome organization	35	11.864406779661017	2.668250860901155E-5	KMT2D, SOX1, UTY, KMT2C, KMT2B, TRRAP, TCF7L1, AUTS2, ACIN1, LOXL2, BAZ2A, KDM5D, SREBF1, ANP32B, MKI67, KANSL1, POGZ, SMG6, MSH5, CREBBP, POLE, RING1, KIF18B, MCM5, CTC1, DOT1L, XPC, PHF21A, TEP1, AKAP8, CHAF1A, EP400, KDM6B, TOP3B, TBL1Y	192	1017	11962	2.144122828580793	0.07759328591568093	0.07759328591568093	0.04808349905971454
GOTERM_BP_FAT	GO:0016570~histone modification	19	6.440677966101695	5.232569314323556E-5	SREBF1, KMT2D, KANSL1, UTY, KMT2C, CREBBP, KMT2B, RING1, TRRAP, DOT1L, AUTS2, PHF21A, AKAP8, LOXL2, BAZ2A, EP400, KDM6B, KDM5D, TBL1Y	192	390	11962	3.035229700854701	0.1464865832770521	0.07614210144473632	0.09427349423796194
GOTERM_BP_FAT	GO:0022402~cell cycle process	36	12.203389830508476	2.317351221079392E-4	TRIOBP, PPP2R3B, HAUS5, CNTRL, ZFP36L1, NUMA1, NUP214, MDC1, STARD9, CDK5RAP2, AKT2, CCNK, NOX5, MKI67, POGZ, MSH5, DDX39B, EME1, POLE, STRADA, KIF18B, IGF2, ARHGEF10, MCM5, FLNA, CTC1, PAGR1, DOT1L, XPC, ZFYVE26, CDK11A, AKAP8, SNX33, MYBBP1A, ARAP1, CCDC8	192	1182	11962	1.89752538071066	0.5041805863301231	0.20851775708013154	0.4168726733025485
GOTERM_BP_FAT	GO:0006325~chromatin organization	23	7.796610169491526	6.763799066333864E-4	SREBF1, KMT2D, SOX1, KANSL1, ANP32B, UTY, KMT2C, CREBBP, KMT2B, RING1, TRRAP, TCF7L1, DOT1L, AUTS2, PHF21A, AKAP8, LOXL2, CHAF1A, BAZ2A, EP400, KDM6B, KDM5D, TBL1Y	192	649	11962	2.20793207498716	0.8710195840567312	0.4007184003949942	1.2121604023995314
GOTERM_BP_FAT	GO:0016569~covalent chromatin modification	19	6.440677966101695	7.251855267627668E-4	SREBF1, KMT2D, KANSL1, UTY, KMT2C, CREBBP, KMT2B, RING1, TRRAP, DOT1L, AUTS2, PHF21A, AKAP8, LOXL2, BAZ2A, EP400, KDM6B, KDM5D, TBL1Y	192	483	11962	2.4508065907522427	0.8887452781416062	0.35543949564443666	1.2990873990358254
GOTERM_BP_FAT	GO:0072359~circulatory system development	24	8.135593220338983	0.0015773531122691474	DVL3, SMG9, FMNL3, LTBP1, NOX5, ANP32B, MYO1E, MAML1, DDX39B, WASF2, MED12, HSPG2, TGFB3, ACACB, GLI2, ZFP36L1, APOB, PLCG1, CC2D2A, HIF3A, NFATC4, LOXL2, KDM6B, FN1	192	738	11962	2.0260840108401084	0.9915907037463854	0.549051850844491	2.805276728531425
GOTERM_BP_FAT	GO:0072358~cardiovascular system development	24	8.135593220338983	0.0015773531122691474	DVL3, SMG9, FMNL3, LTBP1, NOX5, ANP32B, MYO1E, MAML1, DDX39B, WASF2, MED12, HSPG2, TGFB3, ACACB, GLI2, ZFP36L1, APOB, PLCG1, CC2D2A, HIF3A, NFATC4, LOXL2, KDM6B, FN1	192	738	11962	2.0260840108401084	0.9915907037463854	0.549051850844491	2.805276728531425
GOTERM_BP_FAT	GO:0007015~actin filament organization	12	4.067796610169491	0.00429579311489673	TRIOBP, INPPL1, DIAPH1, WASF2, TGFB3, TMSB4Y, SPTA1, TPM2, RHOF, FLNA, ARAP1, ARHGEF10	192	272	11962	2.7486213235294117	0.999997809489397	0.8445801519755152	7.466289714743679
GOTERM_BP_FAT	GO:0007049~cell cycle	37	12.54237288135593	0.004780963226128209	TRIOBP, PPP2R3B, HAUS5, CNTRL, ZFP36L1, NUMA1, NUP214, MDC1, STARD9, CDK5RAP2, AKT2, CCNK, NOX5, MKI67, POGZ, MSH5, DDX39B, EME1, POLE, STRADA, KIF18B, IGF2, ARHGEF10, MCM5, FLNA, CTC1, PAGR1, DOT1L, XPC, ZFYVE26, CDK11A, AKAP8, SNX33, CHAF1A, MYBBP1A, ARAP1, CCDC8	192	1456	11962	1.583226018772894	0.9999994990108231	0.8368907679576155	8.275630307255854
GOTERM_BP_FAT	GO:0014044~Schwann cell development	4	1.3559322033898304	0.005608911810335295	LAMB2, MED12, ARHGEF10, AKT2	192	23	11962	10.83514492753623	0.9999999596618995	0.8491960118151162	9.641359944769423
