Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0000278~mitotic cell cycle	117	29.1044776119403	2.9281008338334864E-46	STIL, KIFC1, XRCC2, PRC1, IQGAP3, KNTC1, PKMYT1, TTK, AURKA, PTTG1, AURKB, MCM10, SHB, CDCA8, CCSAP, CCNA2, CDCA5, ASPM, POLE, ESPL1, CEP152, WEE1, NCAPD2, HES1, RCC2, TIMELESS, SPAG5, ZWINT, KIF4A, NEK2, TICRR, SOX4, CHEK1, MYBL2, SPC24, SPC25, VRK1, FBXO5, SKA3, SKA1, TCF3, GINS2, MKI67, EME1, NUF2, BRCA2, NEUROG1, CDC20, NDC80, GAS1, PLK4, FAM64A, NEDD1, DHFR, WDR62, PCNA, KIF23, E2F1, KIF22, CLSPN, LZTS1, E2F7, EZH2, E2F8, PAX6, GTSE1, FAM83D, KIF2C, CDC45, MCM8, MCM7, FANCI, TOP2A, CDK1, ARHGEF2, KIF11, KIF15, TP53, TPX2, NUSAP1, MCM2, UBE2C, MCM3, HMGA2, MCM5, CDK2, MCM6, CCND2, RRM2, BUB1B, NUP107, MELK, USP3, FOXM1, CEP55, NCAPH, NUMA1, CENPA, NCAPG, BUB1, APEX1, CENPN, NES, DLGAP5, SUN2, KIF18A, KIF18B, CENPF, BIRC5, CDC25C, GSG2, SMC4, CCNB1, CCNB2, CKS2, MIS18BP1, KIF20A	354	893	12053	4.460939131094957	1.2719670022172664E-42	1.2719670022172664E-42	5.489833505447455E-43
GOTERM_BP_FAT	GO:1903047~mitotic cell cycle process	109	27.114427860696516	2.8431293555519383E-43	STIL, KIFC1, PRC1, IQGAP3, KNTC1, PKMYT1, TTK, AURKA, PTTG1, AURKB, MCM10, CDCA8, CCSAP, CCNA2, CDCA5, ASPM, POLE, ESPL1, CEP152, WEE1, NCAPD2, RCC2, TIMELESS, SPAG5, ZWINT, KIF4A, NEK2, TICRR, SOX4, CHEK1, MYBL2, SPC24, SPC25, VRK1, FBXO5, SKA3, SKA1, TCF3, GINS2, EME1, NUF2, NEUROG1, CDC20, NDC80, PLK4, FAM64A, NEDD1, DHFR, WDR62, PCNA, KIF23, E2F1, KIF22, CLSPN, LZTS1, E2F7, EZH2, PAX6, GTSE1, FAM83D, KIF2C, CDC45, MCM8, MCM7, FANCI, TOP2A, CDK1, ARHGEF2, KIF11, KIF15, TP53, TPX2, NUSAP1, MCM2, UBE2C, MCM3, HMGA2, MCM5, CDK2, MCM6, CCND2, RRM2, BUB1B, NUP107, MELK, FOXM1, CEP55, NCAPH, NUMA1, CENPA, NCAPG, BUB1, APEX1, CENPN, NES, DLGAP5, SUN2, KIF18A, KIF18B, CENPF, BIRC5, CDC25C, GSG2, SMC4, CCNB1, CCNB2, CKS2, MIS18BP1, KIF20A	354	821	12053	4.52038302469773	1.235055392051762E-39	6.17527696025881E-40	5.3305223017186114E-40
GOTERM_BP_FAT	GO:0022402~cell cycle process	129	32.08955223880597	1.6756485491714343E-42	STIL, KIFC1, XRCC2, PRC1, IQGAP3, KNTC1, PKMYT1, TTK, AURKA, PTTG1, AURKB, MCM10, CDCA8, CCSAP, WDR76, CCNA2, CDCA5, ASPM, DTL, POLE, CECR2, ESPL1, CEP152, WEE1, NCAPD2, TIMELESS, RCC2, SPAG5, ZWINT, KIF4A, TICRR, NEK2, SOX4, CHEK1, MYBL2, SPC24, SPC25, VRK1, FBXO5, SKA3, SKA1, DDIAS, TCF3, GINS2, MKI67, EME1, NUF2, BRIP1, BRCA2, NEUROG1, CDC20, NDC80, GAS1, BRCA1, NOTCH2, PLK4, FAM64A, NEDD1, DHFR, WDR62, PCNA, E2F1, KIF23, CLSPN, KIF22, LZTS1, E2F7, EZH2, E2F8, PAX6, GTSE1, FAM83D, KIF2C, CDC45, MCM8, MCM7, FANCI, FANCA, TOP2A, CDK1, ARHGEF2, KIF11, KIF15, TP53, TPX2, NUSAP1, MCM2, UBE2C, HMGA2, MCM3, ECT2, CDK2, MCM5, MCM6, CCND2, FANCD2, RRM2, BUB1B, NUP107, MELK, FOXM1, CEP55, NUMA1, NCAPH, EZR, NCAPG, CENPA, BUB1, THBS1, APEX1, CENPN, NES, CENPM, DLGAP5, SUN2, KIF18A, KIF18B, CENPF, BIRC5, CDC25C, CENPK, GSG2, SMC4, CCNB1, CCNB2, CKS2, CENPU, MIS18BP1, KIF20A	354	1187	12053	3.7002484543001155	7.279017297600711E-39	2.4263390992002368E-39	3.141637556433578E-39
GOTERM_BP_FAT	GO:0007049~cell cycle	139	34.57711442786069	1.3591996976390203E-39	STIL, KIFC1, XRCC2, PRC1, KNTC1, IQGAP3, PKMYT1, TTK, AURKA, PTTG1, AURKB, MCM10, SHB, CDCA8, CCSAP, WDR76, CCNA2, CDCA5, ASPM, DTL, POLE, CECR2, ESPL1, CEP152, WEE1, ESCO2, NCAPD2, HES1, UHRF1, TIMELESS, RCC2, SPAG5, ZWINT, KIF4A, TICRR, NEK2, SOX4, CHEK1, MYBL2, SPC24, SPC25, VRK1, SKA3, FBXO5, SKA1, DDIAS, TCF3, GINS2, MKI67, EME1, NUF2, BRIP1, BRCA2, NEUROG1, CDC20, NDC80, GAS1, BRCA1, NOTCH2, FAM64A, PLK4, NEDD1, DHFR, SFRP1, WDR62, PCNA, CHAF1A, E2F1, KIF23, CLSPN, E2F2, KIF22, LZTS1, E2F7, EZH2, E2F8, PAX6, GTSE1, FAM83D, KIF2C, CDC45, MCM8, MCM7, FANCI, FANCA, TOP2A, CDK1, ARHGEF2, KIF11, KIF15, TP53, TPX2, NUSAP1, MCM2, UBE2C, HMGA2, MCM3, ECT2, CDK2, MCM5, MCM6, CCND2, FANCD2, RRM2, BUB1B, NUP107, MELK, USP3, FOXM1, CEP55, NUMA1, NCAPH, EZR, NCAPG, HJURP, CENPA, BUB1, THBS1, APEX1, EXO1, CENPN, NES, CENPM, DLGAP5, SUN2, KIF18A, KIF18B, CENPF, BIRC5, CDC25C, CENPK, GSG2, SMC4, CCNB1, CCNB2, CKS2, CENPU, MIS18BP1, KIF20A	354	1462	12053	3.237123899618972	5.9043634865439044E-36	1.4760908716359761E-36	2.5483343860545057E-36
GOTERM_BP_FAT	GO:0051276~chromosome organization	113	28.109452736318406	2.482554589284229E-37	KIFC1, PRC1, KNTC1, TTK, AURKA, CBX2, PTTG1, AURKB, HIST1H2BO, CDCA8, HIST1H2BL, HIST1H2BI, CDCA5, H1F0, MTA2, POLE, CECR2, ESPL1, NCAPD2, UHRF1, BAZ1A, RFC4, RCC2, SPAG5, ZWINT, HIST1H4L, KIF4A, HMGB2, NEK2, CHEK1, SPC24, SPC25, VRK1, POLE3, AUTS2, SKA1, ASF1B, GINS2, MKI67, PIF1, GINS4, NUF2, BRIP1, BRCA2, ATAD2, CDC20, NDC80, BRCA1, POLD1, HIST1H3B, PCNA, HIST1H3C, CHAF1A, HIST1H3F, HIST1H3G, HIST1H3H, KIF23, KIF22, UTY, EZH2, DEK, KIF2C, CDC45, MCM7, ANP32A, TOP2A, KDM5D, CDK1, HIST1H1E, HIST1H1D, HIST1H1C, HIST1H1B, TP53, NUSAP1, MCM2, UBE2C, HMGA2, MCM3, MCM5, CDK2, MCM6, FANCD2, HIST2H2BF, BUB1B, NUP107, USP3, HIST1H2AG, CEP55, NCAPH, HJURP, CENPA, NCAPG, BUB1, ACTL6A, APEX1, CENPN, CENPM, HIST1H2BG, DLGAP5, KIF18A, KIF18B, CENPF, BIRC5, CENPK, GSG2, SMC4, CCNB1, BRMS1, PHF19, HIST1H2AI, SETD7, CENPU, MIS18BP1	354	1019	12053	3.7756884726911837	1.0784217135850691E-33	2.1568434271701383E-34	4.654488399401187E-34
GOTERM_BP_FAT	GO:0000280~nuclear division	76	18.90547263681592	2.050076381019567E-33	KIF23, KIF22, KIFC1, XRCC2, PRC1, KNTC1, PKMYT1, TTK, AURKA, PTTG1, AURKB, FAM83D, KIF2C, CDCA8, CCSAP, TOP2A, FANCA, CCNA2, CDCA5, ASPM, CDK1, ARHGEF2, KIF11, KIF15, TPX2, NUSAP1, ESPL1, UBE2C, HMGA2, WEE1, CDK2, NCAPD2, RCC2, TIMELESS, FANCD2, SPAG5, ZWINT, BUB1B, KIF4A, NEK2, CHEK1, CEP55, MYBL2, SPC24, SPC25, VRK1, NCAPH, NUMA1, CENPA, NCAPG, BUB1, SKA3, FBXO5, SKA1, CENPN, MKI67, DLGAP5, EME1, KIF18A, NUF2, CENPF, KIF18B, NEUROG1, BRCA2, NDC80, CDC20, BIRC5, CDC25C, GSG2, SMC4, CCNB1, NEDD1, FAM64A, CCNB2, CKS2, MIS18BP1	354	497	12053	5.206538667030431	8.905531799148999E-30	1.4842552998581665E-30	3.8436442745426646E-30
GOTERM_BP_FAT	GO:0007067~mitotic nuclear division	68	16.91542288557214	5.123190049324081E-33	KIF23, KIF22, KIFC1, PRC1, KNTC1, PKMYT1, TTK, AURKA, PTTG1, AURKB, FAM83D, KIF2C, CDCA8, CCSAP, CDCA5, CCNA2, ASPM, CDK1, ARHGEF2, KIF11, KIF15, TPX2, NUSAP1, ESPL1, UBE2C, HMGA2, WEE1, CDK2, NCAPD2, RCC2, TIMELESS, SPAG5, ZWINT, BUB1B, KIF4A, NEK2, CHEK1, CEP55, MYBL2, SPC24, SPC25, VRK1, NCAPH, NUMA1, CENPA, NCAPG, BUB1, SKA3, FBXO5, SKA1, CENPN, DLGAP5, KIF18A, NUF2, CENPF, KIF18B, NEUROG1, NDC80, CDC20, BIRC5, CDC25C, GSG2, SMC4, CCNB1, NEDD1, FAM64A, CCNB2, MIS18BP1	354	394	12053	5.876308468840517	2.225513757426381E-29	3.1793053677519725E-30	9.605359235778888E-30
GOTERM_BP_FAT	GO:0048285~organelle fission	76	18.90547263681592	1.138333558208594E-31	KIF23, KIF22, KIFC1, XRCC2, PRC1, KNTC1, PKMYT1, TTK, AURKA, PTTG1, AURKB, FAM83D, KIF2C, CDCA8, CCSAP, TOP2A, FANCA, CCNA2, CDCA5, ASPM, CDK1, ARHGEF2, KIF11, KIF15, TPX2, NUSAP1, ESPL1, UBE2C, HMGA2, WEE1, CDK2, NCAPD2, RCC2, TIMELESS, FANCD2, SPAG5, ZWINT, BUB1B, KIF4A, NEK2, CHEK1, CEP55, MYBL2, SPC24, SPC25, VRK1, NCAPH, NUMA1, CENPA, NCAPG, BUB1, SKA3, FBXO5, SKA1, CENPN, MKI67, DLGAP5, EME1, KIF18A, NUF2, CENPF, KIF18B, NEUROG1, BRCA2, NDC80, CDC20, BIRC5, CDC25C, GSG2, SMC4, CCNB1, NEDD1, FAM64A, CCNB2, CKS2, MIS18BP1	354	527	12053	4.9101512666302165	4.944920976858133E-28	6.181151221072666E-29	2.134237194300167E-28
GOTERM_BP_FAT	GO:0051301~cell division	74	18.407960199004975	2.0112332642189237E-31	KIF23, KIFC1, PRC1, E2F7, E2F8, KNTC1, PAX6, AURKA, PTTG1, AURKB, FAM83D, KIF2C, CDCA8, CDCA7, CCSAP, PDGFC, TOP2A, CDCA5, CCNA2, ASPM, CDK1, ARHGEF2, KIF11, TPX2, CECR2, NUSAP1, ESPL1, UBE2C, HMGA2, ECT2, MCM5, WEE1, CDK2, NCAPD2, RCC2, TIMELESS, SPAG5, CCND2, ZWINT, BUB1B, CDCA7L, KIF4A, NEK2, SOX5, CEP55, DCT, SPC24, SPC25, VRK1, NCAPH, NUMA1, CENPA, NCAPG, BUB1, SKA3, FBXO5, SKA1, NUF2, CENPF, KIF18B, BRCA2, NDC80, CDC20, BIRC5, CDC25C, FZD7, SMC4, CCNB1, NEDD1, FAM64A, CCNB2, CKS2, MIS18BP1, KIF20A	354	502	12053	5.019031219753753	8.736797299767004E-28	9.707552555296672E-29	3.7708181472439667E-28
GOTERM_BP_FAT	GO:0007059~chromosome segregation	56	13.930348258706468	2.4437231332400618E-29	KIF23, KIF22, KIFC1, PRC1, KNTC1, TTK, PTTG1, AURKB, FAM83D, KIF2C, CDCA8, TOP2A, CDCA5, KIF11, NUSAP1, ESPL1, UBE2C, ECT2, ESCO2, NCAPD2, RCC2, FANCD2, SPAG5, ZWINT, BUB1B, NUP107, KIF4A, NEK2, CEP55, SPC24, SPC25, NCAPH, CENPA, HJURP, NCAPG, DDX3Y, BUB1, SKA3, SKA1, CENPN, CENPM, DLGAP5, EME1, KIF18A, NUF2, CENPF, KIF18B, NDC80, BIRC5, CDC20, CENPK, BRCA1, GSG2, SMC4, CCNB1, CENPU	354	293	12053	6.507471896029773	1.0615533290794827E-25	1.0615533290794828E-26	4.581684134604922E-26
