Gene ID	Gene name	ADPSBQ_Pval	ADPSBQ_logFC	ADPSBQ_qvalue	ADPVSC_Pval	ADPVSC_logFC	ADPVSC_qvalue	ADRNLG_Pval	ADRNLG_logFC	ADRNLG_qvalue	ARTAORT_Pval	ARTAORT_logFC	ARTAORT_qvalue	ARTCRN_Pval	ARTCRN_logFC	ARTCRN_qvalue	ARTTBL_Pval	ARTTBL_logFC	ARTTBL_qvalue	BRNCTXA_Pval	BRNCTXA_logFC	BRNCTXA_qvalue	CLNSGM_Pval	CLNSGM_logFC	CLNSGM_qvalue	CLNTRN_Pval	CLNTRN_logFC	CLNTRN_qvalue	ESPGEJ_Pval	ESPGEJ_logFC	ESPGEJ_qvalue	ESPMCS_Pval	ESPMCS_logFC	ESPMCS_qvalue	ESPMSL_Pval	ESPMSL_logFC	ESPMSL_qvalue	FIBRBLS_Pval	FIBRBLS_logFC	FIBRBLS_qvalue	HRTAA_Pval	HRTAA_logFC	HRTAA_qvalue	HRTLV_Pval	HRTLV_logFC	HRTLV_qvalue	LCL_Pval	LCL_logFC	LCL_qvalue	LIVER_Pval	LIVER_logFC	LIVER_qvalue	LUNG_Pval	LUNG_logFC	LUNG_qvalue	MSCLSK_Pval	MSCLSK_logFC	MSCLSK_qvalue	NERVET_Pval	NERVET_logFC	NERVET_qvalue	PNCREAS_Pval	PNCREAS_logFC	PNCREAS_qvalue	PTTARY_Pval	PTTARY_logFC	PTTARY_qvalue	SKINNS_Pval	SKINNS_logFC	SKINNS_qvalue	SKINS_Pval	SKINS_logFC	SKINS_qvalue	SMINTI_Pval	SMINTI_logFC	SMINTI_qvalue	SPLEEN_Pval	SPLEEN_logFC	SPLEEN_qvalue	STMACH_Pval	STMACH_logFC	STMACH_qvalue	THYROID_Pval	THYROID_logFC	THYROID_qvalue	WHLBLD_Pval	WHLBLD_logFC	WHLBLD_qvalue	category	region
ENSG00000000003.10	TSPAN6	5.50E-04	0.112415336	2.95E-03	2.16E-01	-0.0740154	3.41E-01	5.42E-01	0.019143369	7.55E-01	3.58E-01	-0.028458852	4.27E-01	1.33E-02	0.152901393	1.46E-01	2.61E-01	0.034531434	3.87E-01	2.91E-01	-0.070676774	3.82E-01	2.94E-01	-0.071256683	9.72E-01	6.35E-02	0.115207082	6.48E-01	6.31E-01	0.029024525	7.92E-01	1.26E-01	0.061920608	3.87E-01	3.70E-01	0.045427867	6.71E-01	8.36E-01	0.004103161	5.41E-01	2.72E-01	0.047136212	4.07E-01	1.07E-02	-0.111240021	3.21E-02	NA	NA	NA	2.01E-02	-0.165486473	2.66E-01	2.73E-01	0.040404584	6.09E-01	5.85E-01	0.021009911	3.81E-01	5.75E-01	0.017526836	6.07E-01	3.96E-01	0.027243369	5.36E-01	4.17E-03	-0.283235696	7.02E-02	9.23E-01	0.003688963	6.38E-01	3.69E-01	0.026732867	3.14E-01	4.94E-01	0.05532756	7.96E-01	8.26E-01	-0.010375124	5.87E-01	1.99E-01	0.064645494	4.55E-01	1.50E-01	0.030533663	2.80E-01	NA	NA	NA	Variable	nonPAR
ENSG00000000005.5	TNMD	2.77E-03	0.349825477	1.02E-02	1.66E-03	-0.538615587	3.20E-02	NA	NA	NA	NA	NA	NA	4.17E-01	0.204050787	5.69E-01	1.40E-01	0.248101088	2.87E-01	NA	NA	NA	NA	NA	NA	8.44E-01	0.025672483	9.00E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.56E-03	0.3570044	1.62E-02	3.63E-05	-0.657027933	2.35E-03	NA	NA	NA	NA	NA	NA	8.46E-01	0.028073464	6.19E-01	4.78E-04	0.346974163	3.15E-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	nonPAR
ENSG00000001497.12	LAS1L	6.23E-01	0.00816909	4.15E-01	1.94E-04	0.107575814	1.02E-02	5.33E-01	-0.021928	7.54E-01	8.65E-01	-0.003751429	6.08E-01	1.67E-01	-0.047927493	4.05E-01	5.17E-01	0.011188409	5.26E-01	6.77E-02	0.070939145	1.91E-01	5.23E-01	0.023539127	9.80E-01	6.09E-01	-0.018134439	8.73E-01	2.02E-01	0.046571132	6.31E-01	8.07E-01	0.004610419	7.28E-01	6.01E-01	0.015577943	7.46E-01	4.03E-02	-0.03627659	9.67E-02	1.02E-01	0.044998679	2.66E-01	4.74E-03	0.068519352	1.83E-02	1.80E-01	0.035205698	7.13E-01	5.45E-02	0.093664124	3.63E-01	1.33E-01	0.028591638	5.03E-01	2.85E-04	0.069004463	1.37E-03	8.38E-02	0.025129476	2.77E-01	9.37E-01	0.002079778	7.24E-01	4.79E-02	0.089344739	2.27E-01	3.05E-02	0.057814559	1.15E-01	1.41E-02	0.043718045	3.66E-02	4.03E-02	0.092680582	5.14E-01	4.03E-01	0.028716343	4.31E-01	7.70E-03	-0.097993888	1.20E-01	2.98E-01	0.018082144	3.92E-01	8.55E-01	0.003634675	6.72E-01	Inactive	nonPAR
ENSG00000002586.13	CD99	4.92E-25	-0.226844749	1.21E-22	1.95E-25	-0.385464766	1.95E-22	7.69E-41	-0.785718004	4.82E-37	3.57E-14	-0.213762423	1.08E-11	9.50E-20	-0.415500194	1.06E-16	9.63E-52	-0.379546618	8.57E-49	3.70E-26	-0.91297703	1.21E-22	2.17E-23	-0.538932238	4.09E-20	2.88E-18	-0.408212231	2.18E-15	3.15E-11	-0.306631334	3.29E-08	7.75E-15	-0.273429179	3.46E-12	7.63E-26	-0.362154571	6.66E-23	2.94E-02	-0.056833321	7.90E-02	5.21E-37	-0.53266811	1.03E-33	7.66E-30	-0.46507116	6.26E-27	2.41E-09	-0.675292076	1.40E-06	1.77E-08	-0.32829737	1.34E-05	1.04E-39	-0.427956076	1.14E-36	7.15E-47	-0.527339753	5.54E-44	5.93E-69	-0.471033506	8.29E-66	2.63E-14	-0.28280165	1.39E-11	3.20E-23	-0.980571807	9.41E-20	1.35E-17	-0.286459658	6.27E-15	4.86E-18	-0.200240848	1.20E-15	5.11E-10	-0.412427258	4.15E-07	2.79E-19	-0.44771854	2.03E-16	8.40E-21	-0.406588316	8.32E-18	4.91E-47	-0.438730152	3.63E-44	1.14E-11	-0.213722229	4.24E-09	Escape	PAR
ENSG00000003096.9	KLHL13	1.41E-08	-0.276448711	4.16E-07	3.77E-01	0.067291554	4.39E-01	6.44E-01	0.04017128	7.75E-01	1.22E-04	-0.200153412	3.18E-03	2.24E-02	0.152546084	1.82E-01	5.26E-01	-0.028873918	5.30E-01	7.76E-01	0.016623277	5.81E-01	8.45E-02	0.10214274	9.26E-01	4.72E-01	-0.034052318	8.58E-01	6.56E-01	0.02913479	7.97E-01	1.13E-04	0.155891618	1.27E-02	1.57E-01	0.07562559	5.48E-01	4.94E-04	0.226578024	5.01E-03	2.76E-02	0.12232727	1.45E-01	1.77E-01	-0.074603363	2.00E-01	3.88E-01	0.391794944	8.01E-01	1.99E-01	-0.172840219	5.44E-01	9.30E-01	0.005687311	8.04E-01	7.89E-04	0.12872142	3.11E-03	1.73E-01	0.045664209	3.80E-01	4.88E-01	-0.033828096	5.80E-01	1.88E-01	0.115610971	4.13E-01	3.97E-02	0.151411901	1.34E-01	8.51E-01	0.009359518	4.93E-01	7.37E-01	0.033673392	8.48E-01	3.03E-05	0.395758768	2.74E-03	7.15E-01	-0.026339715	7.02E-01	2.99E-01	-0.053586395	3.92E-01	NA	NA	NA	Inactive	nonPAR
ENSG00000004848.6	ARX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.09E-01	-0.044497384	4.88E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.42E-01	0.023885123	7.89E-01	2.66E-02	0.102016122	4.58E-02	NA	NA	NA	1.10E-01	0.183068137	3.11E-01	1.40E-02	0.733923465	1.31E-01	NA	NA	NA	NA	NA	NA	8.68E-01	-0.023893742	8.68E-01	NA	NA	NA	2.28E-06	0.612647667	6.17E-04	8.95E-01	-0.022375364	6.24E-01	NA	NA	NA	Unknown	nonPAR
ENSG00000004961.10	HCCS	1.26E-07	0.108108883	2.82E-06	3.37E-01	-0.025917705	4.17E-01	6.46E-01	0.013206661	7.76E-01	1.77E-01	0.038038556	3.03E-01	8.14E-02	0.066084808	3.10E-01	4.37E-01	0.016731275	4.89E-01	4.29E-04	-0.131328716	1.92E-02	9.95E-01	0.000235989	1.00E+00	5.84E-01	-0.016231848	8.69E-01	3.42E-01	0.03146104	6.99E-01	8.74E-01	0.002699285	7.43E-01	2.06E-01	0.028815196	5.84E-01	9.13E-01	-0.00153809	5.63E-01	3.06E-03	-0.08450676	4.77E-02	5.46E-02	-0.062664882	9.54E-02	2.91E-01	0.028311388	7.74E-01	7.08E-01	0.021509066	7.52E-01	4.40E-01	0.01701283	6.85E-01	9.10E-05	-0.077804591	5.64E-04	4.21E-01	0.017848412	5.41E-01	2.75E-01	-0.030334639	4.61E-01	1.06E-01	0.085716712	3.27E-01	9.19E-01	0.002498566	6.37E-01	1.18E-01	0.029285975	1.55E-01	3.20E-01	0.042711497	7.40E-01	9.95E-01	0.000188453	6.30E-01	1.85E-01	0.048745452	4.43E-01	4.79E-01	-0.016768556	4.84E-01	2.65E-01	0.023639163	4.24E-01	Inactive	nonPAR
ENSG00000005022.5	SLC25A5	7.61E-01	0.006309408	4.63E-01	1.26E-01	0.054797946	2.64E-01	7.25E-01	0.012596921	7.96E-01	2.28E-01	-0.027601441	3.45E-01	1.61E-01	0.052329122	4.00E-01	2.70E-02	0.039679294	1.18E-01	9.65E-01	0.001583182	6.30E-01	3.11E-01	0.047383507	9.72E-01	3.66E-01	0.034120211	8.38E-01	1.85E-01	0.055251955	6.20E-01	2.21E-01	0.032734018	4.84E-01	9.60E-01	0.001277542	8.14E-01	3.42E-01	0.019188577	3.42E-01	5.67E-03	0.108308252	6.63E-02	2.17E-06	0.224536357	5.97E-05	8.26E-01	0.006773911	8.76E-01	8.18E-01	-0.014533216	7.77E-01	9.52E-01	0.001590894	8.07E-01	5.97E-05	0.131299544	4.03E-04	1.24E-01	0.029963906	3.32E-01	1.45E-01	0.063666916	3.52E-01	4.62E-01	0.03896523	5.75E-01	1.73E-02	-0.074278527	8.37E-02	1.37E-04	-0.087708451	1.23E-03	3.02E-01	0.060511789	7.38E-01	1.27E-02	0.074887716	8.22E-02	1.35E-02	0.124991995	1.53E-01	1.90E-01	-0.029101605	3.15E-01	7.35E-02	-0.031561648	2.34E-01	Inactive	nonPAR
ENSG00000005302.13	MSL3	8.74E-01	0.00264985	4.99E-01	3.42E-01	-0.029420994	4.21E-01	4.40E-01	-0.017771622	7.26E-01	3.53E-02	-0.046846377	1.35E-01	1.97E-01	-0.042604774	4.29E-01	8.17E-02	-0.03317052	2.17E-01	1.91E-01	-0.036105748	3.13E-01	2.35E-01	-0.043998005	9.72E-01	1.46E-01	-0.045290758	7.39E-01	6.94E-01	0.012528573	8.04E-01	3.33E-01	0.017204581	5.59E-01	2.04E-01	-0.025711862	5.83E-01	1.43E-02	-0.042583775	5.12E-02	2.92E-01	0.03030015	4.20E-01	6.73E-01	-0.011269635	4.31E-01	2.15E-03	0.264621076	2.30E-01	5.76E-01	-0.028557366	7.17E-01	9.30E-01	0.001989361	8.04E-01	1.22E-01	-0.039106216	1.36E-01	7.65E-01	0.004988938	6.64E-01	3.28E-01	0.026430033	4.97E-01	3.64E-01	0.033463986	5.28E-01	1.82E-01	-0.037609024	3.07E-01	9.49E-01	0.00120285	5.21E-01	9.99E-01	-6.58E-05	8.84E-01	1.53E-01	0.048496809	2.74E-01	4.60E-01	-0.023481153	6.14E-01	5.34E-02	0.035973243	1.66E-01	6.00E-02	0.050422557	2.12E-01	Escape	nonPAR
ENSG00000005889.11	ZFX	5.17E-64	0.520268463	8.41E-61	9.57E-34	0.522602389	1.37E-30	7.76E-33	0.612816841	1.39E-29	4.12E-68	0.642684801	1.29E-64	2.42E-36	0.590277229	8.96E-33	1.34E-89	0.578213751	4.37E-86	1.51E-29	0.594350831	7.38E-26	5.35E-24	0.453337896	1.15E-20	1.43E-42	0.531921527	4.12E-39	1.80E-26	0.45040359	3.77E-23	8.31E-70	0.567118666	1.61E-66	1.35E-58	0.502484259	4.13E-55	4.29E-74	0.626491859	4.88E-71	2.79E-40	0.570165831	9.14E-37	4.82E-58	0.628269121	1.77E-54	1.81E-29	0.645187105	3.02E-26	1.05E-22	0.758261815	2.38E-19	1.86E-75	0.5507756	6.82E-72	3.22E-102	0.618685582	7.49E-99	2.07E-83	0.562544814	4.64E-80	8.29E-35	0.493590712	1.10E-31	7.60E-16	0.533882506	1.12E-12	4.38E-43	0.563716041	7.47E-40	1.28E-72	0.540630593	1.54E-69	2.90E-19	0.568833782	1.00E-15	1.02E-33	0.606974916	4.84E-30	8.87E-36	0.536338591	2.11E-32	2.61E-85	0.552102727	6.75E-82	4.09E-59	0.455282184	7.62E-56	Escape	nonPAR
