gene_name	set	reference	ENSEMBL
TMEM130	cluster7	DarmanisEtAl2	ENSG00000166448
GABRB2	cluster7	DarmanisEtAl2	ENSG00000145864
VSNL1	cluster7	DarmanisEtAl2	ENSG00000163032
GABRA1	cluster7	DarmanisEtAl2	ENSG00000022355
SYNPR	cluster7	DarmanisEtAl2	ENSG00000163630
THY1	cluster7	DarmanisEtAl2	ENSG00000154096
CAMK2A	cluster7	DarmanisEtAl2	ENSG00000070808
MEG3	cluster7	DarmanisEtAl2	ENSG00000214548
GABRG2	cluster7	DarmanisEtAl2	ENSG00000113327
CKMT1B	cluster7	DarmanisEtAl2	ENSG00000237289
CCK	cluster7	DarmanisEtAl2	ENSG00000187094
CHGB	cluster7	DarmanisEtAl2	ENSG00000089199
SCG2	cluster7	DarmanisEtAl2	ENSG00000171951
DNM1	cluster7	DarmanisEtAl2	ENSG00000106976
MAP7D2	cluster7	DarmanisEtAl2	ENSG00000184368
CELF4	cluster7	DarmanisEtAl2	ENSG00000101489
CIT	cluster7	DarmanisEtAl2	ENSG00000122966
UNC80	cluster7	DarmanisEtAl2	ENSG00000144406
NRXN3	cluster7	DarmanisEtAl2	ENSG00000021645
SCN2A	cluster7	DarmanisEtAl2	ENSG00000136531
SNAP25	cluster7	DarmanisEtAl2	ENSG00000132639
MKI67	cluster9	DarmanisEtAl2	ENSG00000148773
TOP2A	cluster9	DarmanisEtAl2	ENSG00000131747
KIAA0101	cluster9	DarmanisEtAl2	ENSG00000166803
CDK1	cluster9	DarmanisEtAl2	ENSG00000170312
RRM2	cluster9	DarmanisEtAl2	ENSG00000171848
TFAP2C	cluster9	DarmanisEtAl2	ENSG00000087510
HIST1H1B	cluster9	DarmanisEtAl2	ENSG00000184357
CENPF	cluster9	DarmanisEtAl2	ENSG00000117724
BIRC5	cluster9	DarmanisEtAl2	ENSG00000089685
TNC	cluster9	DarmanisEtAl2	ENSG00000041982
NUSAP1	cluster9	DarmanisEtAl2	ENSG00000137804
AURKB	cluster9	DarmanisEtAl2	ENSG00000178999
CASC5	cluster9	DarmanisEtAl2	ENSG00000137812
UBE2C	cluster9	DarmanisEtAl2	ENSG00000175063
EOMES	cluster9	DarmanisEtAl2	ENSG00000163508
PBK	cluster9	DarmanisEtAl2	ENSG00000168078
CENPU	cluster9	DarmanisEtAl2	ENSG00000151725
KIF23	cluster9	DarmanisEtAl2	ENSG00000137807
BRIP1	cluster9	DarmanisEtAl2	ENSG00000136492
UHRF1	cluster9	DarmanisEtAl2	ENSG00000276043
CLSPN	cluster9	DarmanisEtAl2	ENSG00000092853
STMN2	Neuronal	PollenEtAl2014	ENSG00000104435
MEF2C	Neuronal	PollenEtAl2014	ENSG00000081189
SCG5	Neuronal	PollenEtAl2014	ENSG00000166922
SLA	Neuronal	PollenEtAl2014	ENSG00000155926
C1orf61	Neuronal	PollenEtAl2014	ENSG00000125462
GPM6B	Neuronal	PollenEtAl2014	ENSG00000046653
