Sample	Sex	PCW
1046	Female	10.0
1047	Female	12.0
1102	Female	12.0
1107	unknown	16.0
1110	unknown	11.0
1111	unknown	11.0
1115	unknown	17.0
1117	unknown	15.0
1118	Male	12.0
1123	unknown	11.0
1281	Male	10.0
1290	Male	14.0
1308	Female	10.0
1558	Female	12.0
1835	Male	12.0
1890	unknown	10.0
1923	Female	13.0
11144	Male	8.0
11160	Female	8.0
11305	Female	13.0
11309	Female	13.0
11312	Female	9.0
11349	Female	13.0
11373	Female	12.0
11423	Female	13.0
11424	Female	14.0
11429	Female	12.0
11446	Male	15.0
11449	Male	14.0
11451	Male	14.0
11457	Female	14.0
11464	Female	17.0
11489	Female	13.0
11492	Male	8.0
11494	Male	14.0
11496	Male	13.0
11501	Male	13.0
11511	Male	14.0
11572	Male	13.0
11580	Male	17.0
11581	Male	19.0
11589	Male	20.0
11602	Male	11.0
11606	Male	9.0
11609	Female	11.0
11626	Female	9.0
11653	Male	10.0
11654	Female	13.0
11656	Female	11.0
11666	Male	12.0
11683	Female	12.0
11769	Female	11.0
11775	Male	13.0
11794	Female	14.0
11798	Male	11.0
11800	Female	8.0
11801	Female	15.0
11806	Female	11.0
11808	Male	17.0
11810	Female	9.0
11817	Female	13.0
11819	Female	16.0
11820	Female	9.0
11830	Female	8.0
11832	Female	8.0
11833	Female	11.0
11834	Male	12.0
11841	Male	10.0
11844	Male	13.0
11845	Male	9.0
11851	Female	9.0
11854	Male	12.0
11869	Female	8.0
11873	Female	9.0
11874	Male	9.0
11880	Male	10.0
11885	Male	12.0
11892	Male	13.0
11893	Female	11.0
11900	Male	14.0
11907	Female	16.0
11912	Male	9.0
11921	Male	17.0
11930	Female	11.0
11942	Female	11.0
11947	Female	13.0
12007	Male	12.0
