Sample	Sex	PCW	RIN	ReadLength
11875	Male	19	5.7	2x76bp
12107	Male	19	8.2	2x76bp
12545	Female	19	7.7	2x76bp
12546	Male	19	6.1	2x76bp
12993	Male	19	8.5	2x76bp
12994	Female	15	8.3	2x76bp
13008	Female	17	8	2x76bp
13142	Male	19	7.8	2x76bp
15240	Female	13	5.5	2x125bp
15296	Female	12	7.2	2x76bp
15329	Male	12	7.6	2x76bp
15468	Male	12	8.8	2x125bp
15533	Female	13	8.3	2x100bp
15655	Male	13	7.2	2x125bp
15768	Female	12	8.9	2x125bp
16024	Male	17	2.1	2x100bp
16115	Male	17	2.2	2x100bp
16117	Male	12	8.3	2x76bp
16286	Female	13	8	2x125bp
16385	Female	16	6.6	2x100bp
16428	Male	14	5.5	2x100bp
16483	Male	13	8.6	2x125bp
16488	Male	14	8.1	2x125bp
16548	Female	18	6	2x100bp
16640	Male	14	4	2x125bp
16649	Male	13	6.1	2x125bp
16810	Male	17	6.3	2x100bp
16826	Male	16	2	2x100bp
16840	Female	13	8.2	2x100bp
16859	Male	12	6	2x76bp
16929	Male	14	9	2x100bp
16972	Male	13	9.6	2x125bp
17013	Male	13	6	2x125bp
17046	Male	12	6.5	2x76bp
17048	Male	16	2.4	2x100bp
17049	Male	12	8	2x125bp
17053	Male	14	2.1	2x100bp
17054	Male	15	9.1	2x125bp
17068	Female	17	8.3	2x100bp
17071	Male	14	3.9	2x100bp
17072	Male	15	7	2x125bp
17081	Female	13	9.1	2x125bp
17087	Male	13	7.8	2x125bp
17109	Female	13	9	2x100bp
17111	Female	12	8	2x76bp
17115	Male	15	7.5	2x125bp
17130	Female	13	7.7	2x125bp
17160	Female	17	3.3	2x125bp
17162	Male	17	9	2x76bp
17167	Male	13	4.3	2x125bp
17175	Male	15	3.4	2x125bp
17193	Male	13	9	2x76bp
17221	Female	14	9.2	2x76bp
17229	Female	16	4.7	2x125bp
17264	Male	17	8.4	2x76bp
17333	Male	17	5.6	2x125bp
17369	Male	15	7	2x125bp
17372	Male	13	9	2x76bp
17475	Male	13	5.5	2x125bp
17486	Female	18	2.9	2x76bp
17521	Male	12	9	2x76bp
17543	Female	13	2	2x125bp
17629	Male	15	7.3	2x125bp
17666	Female	13	8.6	2x76bp
17671	Male	16	5.7	2x125bp
17701	Male	13	7.6	2x125bp
17753	Female	12	7	2x76bp
17754	Male	13	10	2x76bp
17812	Female	14	8.6	2x125bp
17835	Female	13	1.8	2x125bp
17921	Female	14	2.4	2x100bp
17922	Male	15	4.3	2x125bp
17923	Female	15	1.9	2x125bp
17932	Male	12	4.2	2x76bp
18015	Female	14	9.1	2x76bp
18055	Male	13	6.5	2x125bp
18134	Male	16	7.2	2x125bp
18139	Female	12	6	2x76bp
18153	Male	16	7.1	2x125bp
18208	Male	16	6.1	2x125bp
18241	Female	16	5.9	2x125bp
18249	Male	13	6.1	2x125bp
18266	Female	16	5.4	2x125bp
18282	Female	14	4.6	2x125bp
18294	Female	17	8.3	2x125bp
18349	Female	14	8	2x125bp
18355	Female	14	4.6	2x125bp
18372	Female	13	7.2	2x125bp
18382	Male	15	9	2x76bp
18528	Male	12	7.2	2x76bp
18529	Male	14	8.1	2x76bp
18540	Male	12	6	2x76bp
18559	Female	13	3.4	2x125bp
18596	Male	13	7.9	2x125bp
18611	Female	12	6	2x76bp
18653	Male	13	6	2x76bp
18655	Female	13	8.4	2x125bp
18666	Male	15	2.7	2x125bp
18687	Female	14	8.3	2x125bp
18694	Female	13	7.4	2x125bp
18856	Male	14	5.5	2x76bp
18983	Female	18	4.7	2x125bp
19031	Female	14	6.2	2x76bp
19043	Female	14	4.4	2x125bp
19052	Female	15	4.7	2x125bp
1117	Male	15	8	2x76bp
11396	Female	12	8.4	2x76bp
11449	Male	14	8.5	2x76bp
11511	Male	14	8	2x76bp
11654	Female	13	8	2x76bp
11834	Male	12	8.5	2x76bp
11844	Male	13	9	2x76bp
11885	Male	12	9	2x76bp
11892	Male	13	8.5	2x76bp
11900	Male	14	8.5	2x76bp
11907	Female	16	9.3	2x76bp
11921	Male	17	8	2x76bp
11928	Male	13	8.6	2x76bp
11952	Male	17	9.4	2x76bp
11971	Male	17	8.9	2x76bp
12116	Female	14	8.3	2x76bp
12134	Male	14	8.5	2x76bp
12152	Male	12	8.5	2x76bp
12153	Female	14	8	2x76bp
12680	Male	13	2.3	2x76bp
12972	Female	14	9.4	2x76bp
13117	Female	15	7.5	2x76bp
13144	Male	12	7.8	2x76bp
