Sample	Analysis
1117	new
11396	new
11449	new
11511	new
11654	new
11834	new
11844	new
11875	old
11885	new
11892	new
11900	new
11907	new
11921	new
11928	new
11952	new
11971	new
12107	old
12116	new
12134	new
12152	new
12153	new
12545	old
12546	old
12680	new
12972	new
12993	old
12994	old
13008	old
13117	new
13142	old
13144	new
15240	old
15296	old
15329	old
15468	old
15533	old
15655	old
15768	old
16024	old
16115	old
16117	old
16286	old
16385	old
16428	old
16483	old
16488	old
16548	old
16640	old
16649	old
16810	old
16826	old
16840	old
16859	old
16929	old
16972	old
17013	old
17046	old
17048	old
17049	old
17053	old
17054	old
17068	old
17071	old
17072	old
17081	old
17087	old
17109	old
17111	old
17115	old
17130	old
17160	old
17162	old
17167	old
17175	old
17193	old
17221	old
17229	old
17264	old
17333	old
17369	old
17372	old
17475	old
17486	old
17521	old
17543	old
17629	old
17666	old
17671	old
17701	old
17753	old
17754	old
17812	old
17835	old
17921	old
17922	old
17923	old
17932	old
18015	old
18055	old
18134	old
18139	old
18153	old
18208	old
18241	old
18249	old
18266	old
18282	old
18294	old
18349	old
18355	old
18372	old
18382	old
18528	old
18529	old
18540	old
18559	old
18596	old
18611	old
18653	old
18655	old
18666	old
18687	old
18694	old
18856	old
18983	old
19031	old
19043	old
19052	old

