Chr	Gene ID	Ensembl ID	Female	Male	Fold-change	p-value	FDR	Reported as showing evidence for X-inactivation by Zhang et al (2013; Mol Biol Evol 30:2588-601) 
chrX	XIST	ENSG00000229807.9	121747	368	0.002	6.75E-128	5.76E-125	Yes
chrX	ZFX	ENSG00000005889.15	3708	2534	0.689	2.87E-29	2.23E-26	Yes
chrX	PNPLA4	ENSG00000006757.11	303	171	0.566	6.65E-27	4.93E-24	
chrX	JPX	ENSG00000225470.6	1454	948	0.654	8.72E-21	5.96E-18	
chrX	KDM5C	ENSG00000126012.11	4173	3100	0.732	6.14E-19	4.03E-16	
chrX	HDHD1	ENSG00000130021.13	428	300	0.709	1.02E-17	6.46E-15	Yes
chrX	ARSD	ENSG00000006756.15	805	556	0.694	7.45E-16	4.54E-13	
chrX	TSIX	ENSG00000270641.1	114	56	0.477	2.63E-15	1.55E-12	
chrX	DDX3X	ENSG00000215301.9	12056	9347	0.775	3.64E-13	2.07E-10	Yes
chrX	STS	ENSG00000101846.6	1597	983	0.625	4.79E-11	2.55E-08	Yes
chrX	RP11-706O15.1	ENSG00000205664.10	1008	709	0.697	1.66E-10	8.58E-08	
chrX	GYG2	ENSG00000056998.18	612	380	0.625	4.04E-10	2.03E-07	
chrX	NLGN4X	ENSG00000146938.14	4683	3161	0.681	2.96E-09	1.44E-06	
chrX	TRAPPC2	ENSG00000196459.13	1269	1027	0.808	2.11E-07	9.72E-05	Yes
chrX	OFD1	ENSG00000046651.14	1587	1338	0.845	2.34E-06	0.001049084	
chrX	KDM6A	ENSG00000147050.14	2218	1815	0.823	8.78E-06	0.003746616	
chrX	EIF1AX	ENSG00000173674.10	5539	4462	0.806	7.34E-05	0.021983931	Yes
chrX	RP13-216E22.4	ENSG00000228906.1	64	43	0.67	8.09E-05	0.023821664	
chrX	RAB39B	ENSG00000155961.4	1204	1054	0.873	0.000103817	0.026450012	
chrX	NAP1L3	ENSG00000186310.9	5691	4158	0.732	0.000119295	0.026794377	
chrX	OCRL	ENSG00000122126.15	2547	2252	0.884	0.000210313	0.036723609	
chrX	CLCN4	ENSG00000073464.11	4660	4068	0.872	0.000297138	0.043069237	
chrX	SYAP1	ENSG00000169895.5	1347	1200	0.891	0.000302424	0.043069237	
chrX	RPS4X	ENSG00000198034.10	23406	18609	0.786	0.000416909	0.045984787	
chrX	SLC9A6	ENSG00000198689.9	4570	3800	0.815	0.00056354	0.050295976	
chrX	GS1-358P8.4	ENSG00000260822.1	434	362	0.809	0.000643666	0.053304478	
chrX	CXorf36	ENSG00000147113.16	164	141	0.857	0.000887885	0.062194749	
chrX	ATP6AP2	ENSG00000182220.13	2789	2332	0.817	0.001158205	0.066344168	Yes
chrX	KLHL13	ENSG00000003096.13	2188	1611	0.681	0.001424805	0.071014763	
chrX	PGK1	ENSG00000102144.13	4576	4009	0.872	0.001491228	0.07199167	Yes
chrX	RAB9B	ENSG00000123570.3	1561	1356	0.854	0.001760985	0.076073681	
chrX	COX7B	ENSG00000131174.4	1831	1576	0.847	0.001776669	0.076200349	
chrX	ANOS1	ENSG00000011201.10	3232	2140	0.67	0.002194796	0.079626278	
chrX	ARMCX1	ENSG00000126947.11	1721	1567	0.896	0.002414661	0.081298359	
chrX	TCEAL7	ENSG00000182916.7	1776	1494	0.846	0.002554288	0.082112411	
chrX	TSPAN7	ENSG00000156298.12	3148	2465	0.79	0.002602882	0.082898102	
chrX	GPRASP2	ENSG00000158301.18	3309	2908	0.871	0.00259101	0.082898102	
chrX	TSC22D3	ENSG00000157514.16	1074	853	0.775	0.002969163	0.086966336	
chrX	HS6ST2	ENSG00000171004.17	1210	883	0.74	0.003100147	0.088025002	
chrX	TRAPPC13P1	ENSG00000235447.2	96	66	0.637	0.003156524	0.0881249	
chrX	ARMCX3	ENSG00000102401.19	3392	3061	0.899	0.003304727	0.089583862	Yes
chrX	VBP1	ENSG00000155959.10	2331	2009	0.833	0.003495425	0.091513659	Yes
chrX	CENPVP1	ENSG00000223591.4	137	106	0.716	0.003574894	0.091854152	
chrX	GK	ENSG00000198814.12	649	561	0.858	0.003693232	0.092710977	
chrX	CA5BP1	ENSG00000186312.10	236	209	0.876	0.003914655	0.094650361	
chrX	DYNLT3	ENSG00000165169.10	683	552	0.79	0.004078989	0.096121364	
chrX	CASK	ENSG00000147044.20	8282	7380	0.895	0.004232982	0.0973814	
