HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Unknown	Unknown
HGNC:18783	AKAP17A	A-kinase anchoring protein 17A	Approved	CXYorf3, SFRS17A	XE7, XE7Y, DXYS155E, MGC39904, 721P, CCDC133	Xp22.33 and Yp11.32	L03426	NM_005088	PAR1, AKAP	"Pseudoautosomal regions / PAR1", "A-kinase anchor proteins"
HGNC:750	ASMT	acetylserotonin O-methyltransferase	Approved		HIOMT, ASMTY, HIOMTY	Xp22.3 and Yp11.3	M83779	NM_004043	PAR1	"Pseudoautosomal regions / PAR1"
HGNC:751	ASMTL	acetylserotonin O-methyltransferase like	Approved			Xp22.3 and Yp11.3	Y15521	NM_004192	PAR1	"Pseudoautosomal regions / PAR1"
HGNC:25811	ASMTL-AS1	ASMTL antisense RNA 1	Approved	CXYorf2, NCRNA00105, ASMTLAS, ASMTL-AS	FLJ13330	Xp22.33 and Yp11.32	AK023392	XR_040863	PAR1, LNCRNA	"Pseudoautosomal regions / PAR1", "Long non-coding RNAs"
HGNC:7082	CD99	CD99 molecule (Xg blood group)	Approved	MIC2		Xp22.32 and Yp11.3	M16279	NM_001122898	PAR1, CD	"Pseudoautosomal regions / PAR1", "CD molecules"
HGNC:7083	CD99P1	CD99 molecule pseudogene 1	Approved	MIC2R, NCRNA00103, CXYorf12, CD99L1		Xp22.33 and Yp11.31		NR_033380	PAR1	"Pseudoautosomal regions / PAR1"
HGNC:14281	CRLF2	cytokine receptor like factor 2	Approved		CRL2, TSLPR	Xp22.3 and Yp11.3	AF142570	NM_022148	PAR1	"Pseudoautosomal regions / PAR1"
HGNC:2435	CSF2RA	colony stimulating factor 2 receptor alpha subunit	Approved	CSF2R	CD116	Xp22.32 and Yp11.3	M64445		CD, PAR1	"CD molecules", "Pseudoautosomal regions / PAR1"
HGNC:18399	DHRSX	dehydrogenase/reductase X-linked	Approved		DHRS5X, DHRSXY, DHRSY, DHRS5Y, SDR46C1, SDR7C6	Xp22.33 and Yp11.2	AJ293620	NM_145177	PAR1	"Pseudoautosomal regions / PAR1"
HGNC:38713	DHRSX-IT1	DHRSX intronic transcript 1	Approved	DHRSXIT1	DHRSX-IT	Xp22.33 and Yp11			PAR1, LNCRNA	"Pseudoautosomal regions / PAR1", "Long non-coding RNAs"
HGNC:38717	FABP5P13	fatty acid binding protein 5 pseudogene 13	Approved	FABP5L13		Xp22.33 and Yp11.32			PAR1	"Pseudoautosomal regions / PAR1"
HGNC:30189	GTPBP6	GTP binding protein 6 (putative)	Approved		PGPL, FLJ20977	Xp22.33 and Yp11.32	Y14391	NM_012227	PAR1	"Pseudoautosomal regions / PAR1"
HGNC:6012	IL3RA	interleukin 3 receptor subunit alpha	Approved		CD123	Xp22.3 and Yp13.3	M74782		PAR1, IL, CD	"Pseudoautosomal regions / PAR1", "Interleukins and interleukin receptors", "CD molecules"
HGNC:30470	LINC00102	long intergenic non-protein coding RNA 102	Approved	NCRNA00102	OTTHUMT00000055623	Xp22.33 and Yp11.31			PAR1, LNCRNA	"Pseudoautosomal regions / PAR1", "Long non-coding RNAs"
HGNC:31843	LINC00106	long intergenic non-protein coding RNA 106	Approved	CXYorf8, NCRNA00106	OTTHUMG00000021061	Xp22.33 and Yp11.32			PAR1, LNCRNA	"Pseudoautosomal regions / PAR1", "Long non-coding RNAs"
HGNC:27560	LINC00685	long intergenic non-protein coding RNA 685	Approved	CXYorf10, NCRNA00107, PPP2R3B-AS1	OTTHUMT00000055574	Xp22.33 and Yp11.32	BC041934		PAR1, LNCRNA	"Pseudoautosomal regions / PAR1", "Long non-coding RNAs"
HGNC:38967	MIR3690	microRNA 3690	Approved	MIR3690-2, MIR3690-1	hsa-mir-3690, hsa-mir-3690-2	Xp22.32 and Yp11.3		NR_037461	MIR, PAR1	"ncRNAs / Micro RNAs", "Pseudoautosomal regions / PAR1"
HGNC:50179	MIR6089	microRNA 6089	Approved	MIR6089-1, MIR6089-2	hsa-mir-6089-1	Xp22.3 and Yp11.3		NR_106737	MIR, PAR1	"ncRNAs / Micro RNAs", "Pseudoautosomal regions / PAR1"
HGNC:15524	P2RY8	purinergic receptor P2Y8	Approved		P2Y8	Xp22.33 and Yp11.3	AA804531	NM_178129	PAR1, P2R, P2RY	"Pseudoautosomal regions / PAR1", "Purinergic receptors", "GPCR / Class A : Purinergic receptors, P2Y"
HGNC:23148	PLCXD1	phosphatidylinositol specific phospholipase C X domain containing 1	Approved		FLJ11323	Xp22.33 and Yp11.32	AK002185	NM_018390	PAR1	"Pseudoautosomal regions / PAR1"
HGNC:13417	PPP2R3B	protein phosphatase 2 regulatory subunit B''beta	Approved	PPP2R3L	PPP2R3LY, PR48, PR70	Xp22.3 and Yp11.3	AF215840	NM_013239	PAR1, PPP2R, EFHAND	"Pseudoautosomal regions / PAR1", "Serine/threonine phosphatases / Protein phosphatase 2, regulatory subunits", "EF-hand domain containing"
HGNC:10853	SHOX	short stature homeobox	Approved		PHOG, GCFX, SS, SHOXY	Xp22.33 and Yp11.32	U82668	NM_000451	PAR1, PRD	"Pseudoautosomal regions / PAR1", "Homeoboxes / PRD class"
HGNC:10992	SLC25A6	solute carrier family 25 member 6	Approved	ANT3	ANT3Y, MGC17525	Xp22.32 and Yp11.3	AY007135	NM_001636	PAR1, SLC	"Pseudoautosomal regions / PAR1", "Solute carriers"
HGNC:12806	XG	Xg blood group	Approved	PBDX		Xp22.33	AF380356	NM_175569	bloodgroup, PAR1	"Blood group antigens", "Pseudoautosomal regions / PAR1"
